City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kaisiadorys,LT,274.24,overcast clouds,54.8667,24.45,Pas Radvilą
8,Kristinehamn,SE,274.46,overcast clouds,59.3098,14.1081,Stadshotellet
17,Khatanga,RU,258.73,overcast clouds,71.9667,102.5,Хатанга
29,Tuktoyaktuk,CA,245.15,light snow,69.4541,-133.0374,Hunter's B&B
37,Severo-Kurilsk,RU,269.79,snow,50.6789,156.125,"""Дом рыбака"""
40,Yar-Sale,RU,254.5,overcast clouds,66.8333,70.8333,ЯЛЭМД
41,Talnakh,RU,256.6,light snow,69.4865,88.3972,Талнах
61,Tiksi,RU,243.78,overcast clouds,71.6872,128.8694,Арктика
76,Qianguo,CN,254.83,clear sky,45.1171,124.8568,松原天達名都大酒店
81,Hovd,MN,257.13,overcast clouds,48.0056,91.6419,Khovd hotel
82,Terrace,CA,270.1,broken clouds,54.5163,-128.6035,Sandman Hotel Terrace
87,Zhigansk,RU,233.05,broken clouds,66.7697,123.3711,ИП Пав
96,Kodiak,US,273.88,few clouds,57.79,-152.4072,Shelikof Lodge
97,Krasnyy Chikoy,RU,252.85,broken clouds,50.3643,108.7512,"Гостиница ЗАО ""Слюдянка"""
98,Shingu,JP,273.62,clear sky,33.7333,135.9833,ホテルニューパレス
102,La Ronge,CA,253.29,few clouds,55.1001,-105.2842,La Ronge Hotel and Suites
103,Smithers,CA,265.33,scattered clouds,54.7804,-127.1743,Sunshine Inn Hotel
104,Longyearbyen,SJ,273.06,snow,78.2186,15.6401,The Vault
112,Gaspe,CA,268.1,overcast clouds,48.8334,-64.4819,Auberge sous les Arbres
113,Paamiut,GL,255.55,clear sky,61.994,-49.6678,Hotel Ivaana
116,Iqaluit,CA,248.0,light snow,63.7506,-68.5145,Frobisher Inn
124,Shakhtinsk,KZ,250.46,overcast clouds,49.71,72.5872,Гостинично-развлекательный комплекс «Табыс»
134,Nagahama,JP,273.7,light snow,35.3833,136.2667,まちやの宿 いろは
135,Norman Wells,CA,240.17,few clouds,65.282,-126.8329,Yamouri Inn
142,Nurota,UZ,274.99,broken clouds,40.5614,65.6886,Nurota
144,Verkhoyansk,RU,225.23,broken clouds,67.5447,133.385,Полюс холода
149,Whitehorse,CA,258.76,broken clouds,60.7161,-135.0538,Town & Mountain Hotel
152,Thompson,CA,252.24,broken clouds,55.7435,-97.8558,Thompson Inn
154,Vardo,NO,273.14,light rain,70.3705,31.1107,Meieriet
161,Udachnyy,RU,250.62,overcast clouds,66.4167,112.4,Вилюй
174,Homer,US,272.09,light snow,59.6425,-151.5483,Driftwood Inn & Homer Seaside Lodges
181,Wuwei,CN,266.61,clear sky,37.9281,102.6414,Hepingli Boutique Hotel
185,Nemuro,JP,261.93,scattered clouds,43.3236,145.575,イーストハーバーホテル
196,Banff,CA,265.36,overcast clouds,51.1762,-115.5698,King Edward Hotel
206,Shatsk,RU,266.78,overcast clouds,54.0258,41.7119,Турист
218,Fort Nelson,CA,256.45,broken clouds,58.8053,-122.7002,Fort Nelson Hotel
