City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kununurra,AU,-15.7667,128.7333,298.14,94,90,0.0,overcast clouds
1,Souillac,MU,-20.5167,57.5167,299.36,78,40,4.12,scattered clouds
2,Hobart,AU,-42.8794,147.3294,286.51,87,100,2.06,overcast clouds
3,Mangai,CD,-4.05,19.5333,296.58,84,71,0.36,moderate rain
4,Kaisiadorys,LT,54.8667,24.45,274.24,86,100,2.11,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,281.94,81,100,9.26,moderate rain
6,Vaini,TO,-21.2,-175.2,300.38,81,100,5.63,light rain
7,Busselton,AU,-33.65,115.3333,288.18,90,100,3.72,overcast clouds
8,Kristinehamn,SE,59.3098,14.1081,274.46,81,100,4.25,overcast clouds
9,Atuona,PF,-9.8,-139.0333,299.33,76,3,8.36,light rain
10,Kineta,GR,37.9709,23.2183,284.05,63,0,2.13,clear sky
11,Bluff,NZ,-46.6,168.3333,286.32,86,9,3.59,clear sky
12,Ellsworth,US,44.5434,-68.4195,275.93,75,100,4.12,overcast clouds
13,Asau,RO,46.4333,26.4,273.86,93,62,2.28,broken clouds
14,Petrokamenskoye,RU,57.716,60.6484,264.19,95,100,2.6,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,299.05,69,100,1.38,overcast clouds
16,Jamestown,US,42.097,-79.2353,282.88,42,0,2.57,clear sky
17,Khatanga,RU,71.9667,102.5,258.73,95,100,5.12,overcast clouds
18,Barrow,US,71.2906,-156.7887,247.16,84,100,4.12,overcast clouds
19,Gouyave,GD,12.1646,-61.7296,301.58,70,20,9.77,few clouds
20,Timmins,CA,48.4669,-81.3331,277.05,52,75,8.23,broken clouds
21,Pacific Grove,US,36.6177,-121.9166,284.7,56,20,8.94,few clouds
22,Rahimatpur,IN,17.6,74.2,294.19,15,7,1.84,clear sky
23,Albany,US,42.6001,-73.9662,282.91,45,5,0.89,clear sky
24,Joshimath,IN,30.5667,79.5667,282.32,35,0,3.99,clear sky
25,Bredasdorp,ZA,-34.5322,20.0403,294.44,78,99,3.74,overcast clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,297.93,42,0,2.06,clear sky
27,Anqiu,CN,36.4342,119.1925,271.4,58,100,3.6,overcast clouds
28,Port Blair,IN,11.6667,92.75,296.17,83,24,1.03,mist
29,Tuktoyaktuk,CA,69.4541,-133.0374,245.15,69,100,3.09,light snow
30,Hermanus,ZA,-34.4187,19.2345,295.26,83,97,4.69,overcast clouds
31,Atambua,ID,-9.1061,124.8925,295.82,95,100,1.7,overcast clouds
32,Vila Do Maio,CV,15.1333,-23.2167,295.59,76,0,10.18,clear sky
33,Yellowknife,CA,62.456,-114.3525,246.44,76,20,4.12,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,304.13,70,75,5.14,light rain
35,Broken Hill,AU,-31.95,141.4333,292.8,35,0,3.12,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,283.21,62,75,11.32,light rain
37,Severo-Kurilsk,RU,50.6789,156.125,269.79,89,100,16.8,snow
38,Calbuco,CL,-41.768,-73.1273,289.71,74,100,3.57,overcast clouds
