City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,299.41,77,7,8.63,PF,2023-02-10 20:59:37
1,Shiyan,32.6475,110.7781,277.51,91,100,1.08,CN,2023-02-10 20:59:38
2,Jamestown,42.097,-79.2353,275.38,93,100,7.2,US,2023-02-10 20:59:38
3,Saskylakh,71.9167,114.0833,230.24,98,54,3.27,RU,2023-02-10 20:59:39
4,Hami,42.8,93.45,272.27,50,99,3.65,CN,2023-02-10 20:59:39
5,Kenai,60.5544,-151.2583,264.34,85,100,13.38,US,2023-02-10 20:59:40
6,Ribeira Grande,38.5167,-28.7,288.58,82,20,3.6,PT,2023-02-10 20:59:40
7,La Chaux-De-Fonds,47.0999,6.8259,271.29,86,99,0.0,CH,2023-02-10 20:59:40
8,Calamar,10.2511,-74.9146,310.33,30,20,4.06,CO,2023-02-10 20:59:41
9,Punta Arenas,-53.15,-70.9167,290.16,41,40,12.35,CL,2023-02-10 20:59:41
10,Butaritari,3.0707,172.7902,300.37,80,83,9.19,KI,2023-02-10 20:51:17
11,Port Elizabeth,-33.918,25.5701,295.31,83,75,3.6,ZA,2023-02-10 20:59:42
12,Castro,-24.7911,-50.0119,291.25,96,93,3.65,BR,2023-02-10 20:59:42
13,Mahebourg,-20.4081,57.7,299.96,73,20,4.12,MU,2023-02-10 20:59:42
14,Mataura,-46.1927,168.8643,288.97,57,19,1.2,NZ,2023-02-10 20:59:43
15,Bluff,-46.6,168.3333,289.15,75,45,2.29,NZ,2023-02-10 20:59:43
16,Luderitz,-26.6481,15.1594,290.73,96,50,2.18,NA,2023-02-10 20:59:39
17,Piet Retief,-27.0071,30.8132,288.75,99,100,1.5,ZA,2023-02-10 20:59:44
18,Asau,46.4333,26.4,261.66,91,24,2.94,RO,2023-02-10 20:59:44
19,Cedar Falls,42.5278,-92.4455,274.03,55,0,4.12,US,2023-02-10 20:57:58
20,San Angelo,31.4638,-100.437,283.09,39,5,7.15,US,2023-02-10 20:57:42
21,Amarante Do Maranhao,-5.5667,-46.7422,300.24,72,28,0.87,BR,2023-02-10 20:59:45
22,Cidreira,-30.1811,-50.2056,299.1,76,0,4.49,BR,2023-02-10 20:54:11
23,Lasa,46.6166,10.7002,275.64,51,37,2.23,IT,2023-02-10 20:54:01
24,Vanino,49.0869,140.2543,250.55,95,46,1.85,RU,2023-02-10 20:59:46
25,Harwich,51.9419,1.2844,280.66,80,96,1.79,GB,2023-02-10 20:59:46
26,Nemuro,43.3236,145.575,269.86,94,100,5.2,JP,2023-02-10 20:59:47
27,Meulaboh,4.1363,96.1285,296.18,91,87,2.04,ID,2023-02-10 20:56:45
28,Broome,42.2506,-75.833,279.05,75,100,2.68,US,2023-02-10 20:59:47
29,Vaini,-21.2,-175.2,299.24,94,75,1.54,TO,2023-02-10 20:59:48
30,Hithadhoo,-0.6,73.0833,300.41,74,56,5.88,MV,2023-02-10 20:59:48
31,Angoram,-4.0625,144.0661,296.44,98,100,1.02,PG,2023-02-10 20:59:48
32,Dunedin,-45.8742,170.5036,287.79,71,18,1.67,NZ,2023-02-10 20:59:49
33,Biak,-0.9131,122.8766,297.53,78,100,1.59,ID,2023-02-10 20:59:49
34,Ushuaia,-54.8,-68.3,287.96,55,40,4.12,AR,2023-02-10 20:56:23
35,Hermanus,-34.4187,19.2345,294.15,72,0,4.98,ZA,2023-02-10 20:59:50
36,Sorong,-0.8833,131.25,299.64,79,100,2.99,ID,2023-02-10 20:59:50
37,Albany,42.6001,-73.9662,279.85,68,96,1.79,US,2023-02-10 20:59:51
38,Severo-Kurilsk,50.6789,156.125,267.44,76,99,12.97,RU,2023-02-10 20:59:51
39,Rafaela,-31.2503,-61.4867,310.36,19,0,0.89,AR,2023-02-10 20:59:51
40,Derzhavinsk,51.1,66.3167,259.74,97,96,3.94,KZ,2023-02-10 20:59:52
41,Sitka,57.0531,-135.33,277.09,52,75,3.6,US,2023-02-10 20:52:51
